id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
36	sergio torres–martínez (2024)	"<table><tr><td>Authors:</td><td>sergio torres–martínez</td></tr><tr><td>Title:</td><td>embodied human language models vs. large language models, or why artificial intelligence cannot explain the modal be able to</td></tr><tr><td>Source:</td><td>biosemiotics, 17(1), 185-209</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-024-09553-2	-0.0015	0.4417	3	139	169	4	5.0323	2024	4	5.0323
37	marcello barbieri (2008a)	"<table><tr><td>Authors:</td><td>marcello barbieri</td></tr><tr><td>Title:</td><td>three types of semiosis</td></tr><tr><td>Source:</td><td>biosemiotics, 2(1), 19-30</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-008-9038-9	-0.9571	-0.1492	2	166	356	44	2.6973	2008	44	2.6973
38	h. h. pattee (2008)	"<table><tr><td>Authors:</td><td>h. h. pattee</td></tr><tr><td>Title:</td><td>physical and functional conditions for symbols, codes, and languages</td></tr><tr><td>Source:</td><td>biosemiotics, 1(2), 147-168</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-008-9012-6	-0.8433	0.2399	5	158	277	43	2.636	2008	43	2.636
39	timo maran (2010a)	"<table><tr><td>Authors:</td><td>timo maran; karel kleisner</td></tr><tr><td>Title:</td><td>towards an evolutionary biosemiotics: semiotic selection and semiotic co-option</td></tr><tr><td>Source:</td><td>biosemiotics, 3(2), 189-200</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-010-9087-8	0.0363	-0.2883	6	320	626	38	2.6703	2010	38	2.6703
40	marcello barbieri (2010a)	"<table><tr><td>Authors:</td><td>marcello barbieri</td></tr><tr><td>Title:</td><td>on the origin of language</td></tr><tr><td>Source:</td><td>biosemiotics, 3(2), 201-223</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-010-9088-7	-0.5349	-0.2436	2	216	577	37	2.6	2010	37	2.6
41	dominique lestel (2011)	"<table><tr><td>Authors:</td><td>dominique lestel</td></tr><tr><td>Title:</td><td>what capabilities for the animal?</td></tr><tr><td>Source:</td><td>biosemiotics, 4(1), 83-102</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-010-9109-6	-0.1409	-0.0182	5	125	155	37	4.0787	2011	37	4.0787
42	h. h. pattee (2012)	"<table><tr><td>Authors:</td><td>h. h. pattee</td></tr><tr><td>Title:</td><td>epistemic, evolutionary, and physical conditions for biological information</td></tr><tr><td>Source:</td><td>biosemiotics, 6(1), 9-31</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-012-9150-8	-0.7178	-0.1908	5	240	416	35	2.0302	2012	35	2.0302
43	joseph j. vitti (2013)	"<table><tr><td>Authors:</td><td>joseph j. vitti</td></tr><tr><td>Title:</td><td>cephalopod cognition in an evolutionary context: implications for ethology</td></tr><tr><td>Source:</td><td>biosemiotics, 6(3), 393-401</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-013-9175-7	-0.0122	-0.9865	4	105	106	35	4.3299	2013	35	4.3299
44	morten tønnessen (2016)	"<table><tr><td>Authors:</td><td>morten tønnessen; riin magnus; carlo brentari</td></tr><tr><td>Title:</td><td>the biosemiotic glossary project: umwelt</td></tr><tr><td>Source:</td><td>biosemiotics, 9(1), 129-149</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-016-9255-6	0.4445	-0.0931	1	291	624	30	2.8302	2016	30	2.8302
45	thomas osborne (2016)	"<table><tr><td>Authors:</td><td>thomas osborne</td></tr><tr><td>Title:</td><td>vitalism as pathos</td></tr><tr><td>Source:</td><td>biosemiotics, 9(2), 185-205</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-016-9254-7	-0.0639	-0.6066	4	148	185	29	2.7358	2016	29	2.7358
46	ahti‐veikko pietarinen (2021)	"<table><tr><td>Authors:</td><td>ahti‐veikko pietarinen; majid davoody beni</td></tr><tr><td>Title:</td><td>active inference and abduction</td></tr><tr><td>Source:</td><td>biosemiotics, 14(2), 499-517</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-021-09432-0	-0.1185	-0.4997	4	137	161	23	4.1552	2021	23	4.1552
47	anand venkatraman (2025)	"<table><tr><td>Authors:</td><td>anand venkatraman; anand viswanathan; sishir rao</td></tr><tr><td>Title:</td><td>un-binding the umwelt: the differential contributions of the five classical senses can be understood through hindu tantra</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-024-09592-9	0.1545	0.7376	3	85	103	0	0	2025	0	0
48	piotr walkowiak (2025)	"<table><tr><td>Authors:</td><td>piotr walkowiak</td></tr><tr><td>Title:</td><td>lofts as shared spaces: examining socio-spatial interactions among humans, king pigeons, and other species</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09596-z	1.1583	-0.0939	1	11	11	0	0	2025	0	0
49	claudio julio rodríguez higuera (2025)	<table><tr><td>Authors:</td><td>claudio julio rodríguez higuera</td></tr><tr><td>Title:</td><td>the metaethics of meaning-making: jonathan birch’s the edge of sentience</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09595-0	0.4573	0.7154	3	26	28	0	0	2025	0	0
50	simone bernardi della rosa (2025)	"<table><tr><td>Authors:</td><td>simone bernardi della rosa; nicola zengiaro</td></tr><tr><td>Title:</td><td>the biosemiotic glossary project: habit</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09594-1	0.4063	0.3744	1	234	361	0	0	2025	0	0
51	marcus vinícius borges oliveira (2025)	"<table><tr><td>Authors:</td><td>marcus vinícius borges oliveira</td></tr><tr><td>Title:</td><td>semioethics, ideology and new humanism</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09603-3	1.0051	0.6751	1	4	5	0	0	2025	0	0
52	jana švorcová (2025)	<table><tr><td>Authors:</td><td>jana švorcová</td></tr><tr><td>Title:</td><td>biosemiotics as an ongoing endeavour</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>	https://doi.org/https://doi.org/10.1007/s12304-025-09604-2	-0.0338	0.526	3	29	39	0	0	2025	0	0
53	nicola zengiaro (2025a)	"<table><tr><td>Authors:</td><td>nicola zengiaro; tatiana j. jaramillo</td></tr><tr><td>Title:</td><td>mythology and zoosemiotics: exploring snake narratives in greek, aztec, and amazonian cultures</td></tr><tr><td>Source:</td><td>biosemiotics</td></tr><tr><td>Year:</td><td>2025</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s12304-025-09598-x	0.7486	0.1147	1	64	71	0	0	2025	0	0
