title,DOI,cited,authors,year
Biological Pedagogy as Concern for Semiotic Growth,10.1007/s12304-013-9178-4,12,Ramsey Affifi,2013
A Mechanistic Model of Meaning,10.1007/s12304-010-9103-z,12,Marcello Barbieri,2010
Why Was Thomas A. Sebeok Not a Cognitive Ethologist? From “Animal Mind” to “Semiotic Self”,10.1007/s12304-010-9079-8,11,Timo Maran,2010
Human Distributed Cognition from an Organism-in-Its-Environment Perspective,10.1007/s12304-017-9293-8,11,"Jaime F. Cárdenas-García, Timothy Ireland",2017
What is Information?,10.1007/s12304-012-9142-8,11,Marcello Barbieri,2012
Molecular Codes Through Complex Formation in a Model of the Human Inner Kinetochore,10.1007/s12304-013-9193-5,11,"Dennis Görlich, Gabi Escuela, Gerd Gruenert, Peter Dittrich, Bashar Ibrahim",2013
Semiotic Scaffolding of the Social Self in Reflexivity and Friendship,10.1007/s12304-014-9221-0,11,Claus Emmeche,2014
Biosymbols: Symbols in Life and Mind,10.1007/s12304-009-9066-0,11,"Liz Stillwaggon Swan, Louis J. Goldberg",2009
On the Nature of the Subjectivity of Living Things,10.1007/s12304-009-9041-9,11,Yoshimi Kawade,2009
Rethinking the Landscape: New Theoretical Perspectives for a Powerful Agency,10.1007/s12304-010-9086-9,11,"Almo Farina, Brian Napoletano",2010
Developmental Scaffolding,10.1007/s12304-015-9235-2,11,"Franco Giorgi, Luis E. Bruni",2015
Semiotic Mechanisms Underlying Niche Construction,10.1007/s12304-018-9323-1,11,"Jeffrey V. Peterson, Ann Marie Thornburg, Marc Kissel, Christopher Ball, Agustín Fuentes",2018
Multimodal Modeling: Bridging Biosemiotics and Social Semiotics,10.1007/s12304-021-09463-7,11,Alin Olteanu,2021
Framework of Space and Time from the Proto-Semiotic Perspective,10.1007/s12304-010-9110-0,11,Koichiro Matsuno,2010
Perception and Conception: Shaping Human Minds,10.1007/s12304-013-9170-z,11,Otávio Bueno,2013
The Acoustic Codes: How Animal Sign Processes Create Sound-Topes and Consortia via Conflict Avoidance,10.1007/s12304-013-9177-5,11,"Rachele Malavasi, Kalevi Kull, Almo Farina",2013
The Hypothesis of a Genetic Protolanguage: an Epistemological Investigation,10.1007/s12304-008-9005-5,10,Gregory Katz,2008
A Biosemiotic Analysis of Braille,10.1007/s12304-010-9092-y,10,"Louis J. Goldberg, Liz Stillwaggon Swan",2010
From Umwelt to Soundtope: An Epistemological Essay on Cognitive Ecology,10.1007/s12304-013-9191-7,10,"Almo Farina, Nadia Pieretti",2013
